,C,D,BN,AN,W
5/9/1953,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/10/1953,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/11/1953,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/12/1953,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/13/1953,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/14/1953,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/15/1953,150,150,175,300,300
5/16/1953,150,150,175,300,300
5/17/1953,150,150,175,300,300
5/18/1953,150,150,175,300,300
5/19/1953,150,150,175,300,300
5/20/1953,150,150,175,300,300
5/21/1953,150,150,175,300,300
5/22/1953,150,150,175,300,300
5/23/1953,150,150,175,300,300
5/24/1953,150,150,175,300,300
5/25/1953,150,150,175,300,300
5/26/1953,150,150,175,300,300
5/27/1953,150,150,175,300,300
5/28/1953,150,150,175,300,300
5/29/1953,150,150,175,300,300
5/30/1953,150,150,175,300,300
5/31/1953,150,150,175,300,300
6/1/1953,50,75,75,250,250
6/2/1953,50,75,75,250,250
6/3/1953,50,75,75,250,250
6/4/1953,50,75,75,250,250
6/5/1953,50,75,75,250,250
6/6/1953,50,75,75,250,250
6/7/1953,50,75,75,250,250
6/8/1953,50,75,75,250,250
6/9/1953,50,75,75,250,250
6/10/1953,50,75,75,250,250
6/11/1953,50,75,75,250,250
6/12/1953,50,75,75,250,250
6/13/1953,50,75,75,250,250
6/14/1953,50,75,75,250,250
6/15/1953,50,75,75,250,250
6/16/1953,50,75,75,250,250
6/17/1953,50,75,75,250,250
6/18/1953,50,75,75,250,250
6/19/1953,50,75,75,250,250
6/20/1953,50,75,75,250,250
6/21/1953,50,75,75,250,250
6/22/1953,50,75,75,250,250
6/23/1953,50,75,75,250,250
6/24/1953,50,75,75,250,250
6/25/1953,50,75,75,250,250
6/26/1953,50,75,75,250,250
6/27/1953,50,75,75,250,250
6/28/1953,50,75,75,250,250
6/29/1953,50,75,75,250,250
6/30/1953,50,75,75,250,250
7/1/1953,50,75,75,250,250
7/2/1953,50,75,75,250,250
7/3/1953,50,75,75,250,250
7/4/1953,50,75,75,250,250
7/5/1953,50,75,75,250,250
7/6/1953,50,75,75,250,250
7/7/1953,50,75,75,250,250
7/8/1953,50,75,75,250,250
7/9/1953,50,75,75,250,250
7/10/1953,50,75,75,250,250
7/11/1953,50,75,75,250,250
7/12/1953,50,75,75,250,250
7/13/1953,50,75,75,250,250
7/14/1953,50,75,75,250,250
7/15/1953,50,75,75,250,250
7/16/1953,50,75,75,250,250
7/17/1953,50,75,75,250,250
7/18/1953,50,75,75,250,250
7/19/1953,50,75,75,250,250
7/20/1953,50,75,75,250,250
7/21/1953,50,75,75,250,250
7/22/1953,50,75,75,250,250
7/23/1953,50,75,75,250,250
7/24/1953,50,75,75,250,250
7/25/1953,50,75,75,250,250
7/26/1953,50,75,75,250,250
7/27/1953,50,75,75,250,250
7/28/1953,50,75,75,250,250
7/29/1953,50,75,75,250,250
7/30/1953,50,75,75,250,250
7/31/1953,50,75,75,250,250
8/1/1953,50,75,75,250,250
8/2/1953,50,75,75,250,250
8/3/1953,50,75,75,250,250
8/4/1953,50,75,75,250,250
8/5/1953,50,75,75,250,250
8/6/1953,50,75,75,250,250
8/7/1953,50,75,75,250,250
8/8/1953,50,75,75,250,250
8/9/1953,50,75,75,250,250
8/10/1953,50,75,75,250,250
8/11/1953,50,75,75,250,250
8/12/1953,50,75,75,250,250
8/13/1953,50,75,75,250,250
8/14/1953,50,75,75,250,250
8/15/1953,50,75,75,250,250
8/16/1953,50,75,75,250,250
8/17/1953,50,75,75,250,250
8/18/1953,50,75,75,250,250
8/19/1953,50,75,75,250,250
8/20/1953,50,75,75,250,250
8/21/1953,50,75,75,250,250
8/22/1953,50,75,75,250,250
8/23/1953,50,75,75,250,250
8/24/1953,50,75,75,250,250
8/25/1953,50,75,75,250,250
8/26/1953,50,75,75,250,250
8/27/1953,50,75,75,250,250
8/28/1953,50,75,75,250,250
8/29/1953,50,75,75,250,250
8/30/1953,50,75,75,250,250
8/31/1953,50,75,75,250,250
9/1/1953,50,75,75,250,250
9/2/1953,50,75,75,250,250
9/3/1953,50,75,75,250,250
9/4/1953,50,75,75,250,250
9/5/1953,50,75,75,250,250
9/6/1953,50,75,75,250,250
9/7/1953,50,75,75,250,250
9/8/1953,50,75,75,250,250
9/9/1953,50,75,75,250,250
9/10/1953,50,75,75,250,250
9/11/1953,50,75,75,250,250
9/12/1953,50,75,75,250,250
9/13/1953,50,75,75,250,250
9/14/1953,50,75,75,250,250
9/15/1953,50,75,75,250,250
9/16/1953,50,75,75,250,250
9/17/1953,50,75,75,250,250
9/18/1953,50,75,75,250,250
9/19/1953,50,75,75,250,250
9/20/1953,50,75,75,250,250
9/21/1953,50,75,75,250,250
9/22/1953,50,75,75,250,250
9/23/1953,50,75,75,250,250
9/24/1953,50,75,75,250,250
9/25/1953,50,75,75,250,250
9/26/1953,50,75,75,250,250
9/27/1953,50,75,75,250,250
9/28/1953,50,75,75,250,250
9/29/1953,50,75,75,250,250
9/30/1953,50,75,75,250,250
10/1/1953,100,150,200,300,300
10/2/1953,100,150,200,300,300
10/3/1953,100,150,200,300,300
10/4/1953,100,150,200,300,300
10/5/1953,100,150,200,300,300
10/6/1953,100,150,200,300,300
10/7/1953,100,150,200,300,300
10/8/1953,100,150,200,300,300
10/9/1953,100,150,200,300,300
10/10/1953,100,150,200,300,300
10/11/1953,100,150,200,300,300
10/12/1953,100,150,200,300,300
10/13/1953,100,150,200,300,300
10/14/1953,100,150,200,300,300
10/15/1953,100,150,200,300,300
10/16/1953,150,150,272.0266041,507.5508607,507.5508607
10/17/1953,150,150,272.0266041,507.5508607,507.5508607
10/18/1953,150,150,272.0266041,507.5508607,507.5508607
10/19/1953,150,150,175,300,300
10/20/1953,150,150,175,300,300
10/21/1953,150,150,175,300,300
10/22/1953,150,150,175,300,300
10/23/1953,150,150,175,300,300
10/24/1953,150,150,175,300,300
10/25/1953,150,150,175,300,300
10/26/1953,150,150,175,300,300
10/27/1953,150,150,175,300,300
10/28/1953,150,150,175,300,300
10/29/1953,150,150,175,300,300
